activity_comment,activity_id,assay_chembl_id,assay_description,assay_type,canonical_smiles,document_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
,413277,CHEMBL653332,Compound was tested for its inhibitory activity against human beta-Secretase (BACE),B,CSCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,CHEMBL1144938,8.70,=,=,IC50,nM,2.0,CHEMBL4822,IC50,uM,0.002
,415726,CHEMBL653332,Compound was tested for its inhibitory activity against human beta-Secretase (BACE),B,CSCC[C@H](NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,CHEMBL1144938,6.52,=,=,IC50,nM,300.0,CHEMBL4822,IC50,uM,0.3
,416186,CHEMBL653512,Inhibition of human Beta-secretase 1,B,CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,CHEMBL1147464,4.38,=,=,IC50,nM,42000.0,CHEMBL4822,IC50,uM,42.0
,416187,CHEMBL653512,Inhibition of human Beta-secretase 1,B,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1)C(=O)NCc1ccc(C(=O)O)cc1,CHEMBL1147464,5.89,=,=,IC50,nM,1300.0,CHEMBL4822,IC50,uM,1.3
,416942,CHEMBL653332,Compound was tested for its inhibitory activity against human beta-Secretase (BACE),B,COC(=O)c1cc(NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)C(O)c2ccccc2-c2ccccc2)C(C)C)cc(C(=O)OC)c1,CHEMBL1144938,6.92,=,=,IC50,nM,120.0,CHEMBL4822,IC50,uM,0.12
,423880,CHEMBL653512,Inhibition of human Beta-secretase 1,B,CCC(C)C[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,CHEMBL1147464,6.19,=,=,IC50,nM,650.0,CHEMBL4822,IC50,uM,0.65
,428864,CHEMBL653512,Inhibition of human Beta-secretase 1,B,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)C[C@H](O)[C@@H](N)Cc1ccccc1)C(=O)NCc1ccc(C(=O)O)cc1,CHEMBL1147464,,>,>,IC50,nM,100000.0,CHEMBL4822,IC50,uM,100.0
,473616,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC(C)[C@H](F)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,5.95,=,=,IC50,nM,1130.0,CHEMBL4822,IC50,nM,1130.0
,475828,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC(C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,6.72,=,=,IC50,nM,190.0,CHEMBL4822,IC50,nM,190.0
,478268,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC[C@H](C)[C@H](O)C(=O)N[C@@H](CCC(F)F)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](CCC(F)F)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,7.35,=,=,IC50,nM,45.0,CHEMBL4822,IC50,uM,0.045
,479509,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC(C)CC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,5.76,=,=,IC50,nM,1740.0,CHEMBL4822,IC50,nM,1740.0
,479513,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,CHEMBL1146699,7.43,=,=,IC50,nM,37.0,CHEMBL4822,IC50,uM,0.037
